file_path,vul_id,line_no,severity,vul_name
CWE114_Process_Control__w32_char_connect_socket_01.c,114,121,3,Process Control
CWE114_Process_Control__w32_char_connect_socket_02.c,114,124,3,Process Control
CWE114_Process_Control__w32_char_connect_socket_03.c,114,124,3,Process Control
CWE114_Process_Control__w32_char_connect_socket_04.c,114,131,3,Process Control
CWE114_Process_Control__w32_char_connect_socket_05.c,114,131,3,Process Control
CWE114_Process_Control__w32_char_connect_socket_06.c,114,128,3,Process Control
CWE114_Process_Control__w32_char_connect_socket_07.c,114,130,3,Process Control
CWE114_Process_Control__w32_char_connect_socket_08.c,114,138,3,Process Control
CWE114_Process_Control__w32_char_connect_socket_09.c,114,124,3,Process Control
CWE114_Process_Control__w32_char_connect_socket_10.c,114,124,3,Process Control
CWE114_Process_Control__w32_char_connect_socket_11.c,114,124,3,Process Control
CWE114_Process_Control__w32_char_connect_socket_12.c,114,129,3,Process Control
CWE114_Process_Control__w32_char_connect_socket_33.cpp,114,127,3,Process Control
CWE114_Process_Control__w32_char_connect_socket_34.c,114,131,3,Process Control
CWE114_Process_Control__w32_char_connect_socket_41.c,114,51,3,Process Control
CWE401_Memory_Leak__char_realloc_04.c,401,45,2,Improper Release of Memory Before Removing Last Reference ('Memory Leak')
CWE401_Memory_Leak__char_realloc_05.c,401,45,2,Improper Release of Memory Before Removing Last Reference ('Memory Leak')
CWE401_Memory_Leak__char_realloc_06.c,401,44,2,Improper Release of Memory Before Removing Last Reference ('Memory Leak')
CWE401_Memory_Leak__char_realloc_07.c,401,44,2,Improper Release of Memory Before Removing Last Reference ('Memory Leak')
CWE401_Memory_Leak__char_realloc_54a.c,401,26,2,Improper Release of Memory Before Removing Last Reference ('Memory Leak')
CWE401_Memory_Leak__char_realloc_61a.c,401,32,2,Improper Release of Memory Before Removing Last Reference ('Memory Leak')
CWE401_Memory_Leak__char_realloc_62a.cpp,401,35,2,Improper Release of Memory Before Removing Last Reference ('Memory Leak')
CWE401_Memory_Leak__char_realloc_63a.c,401,27,2,Improper Release of Memory Before Removing Last Reference ('Memory Leak')
CWE401_Memory_Leak__destructor_01_bad.cpp,401,32,2,Improper Release of Memory Before Removing Last Reference ('Memory Leak')
CWE401_Memory_Leak__int64_t_calloc_01.c,401,34,2,Improper Release of Memory Before Removing Last Reference ('Memory Leak')
CWE90_LDAP_Injection__w32_char_connect_socket_34.c,090,148,2,Improper Neutralization of Special Elements used in an LDAP Query ('LDAP Injection')
CWE398_Poor_Code_Quality__empty_block_09.c,398,25,1,Indicator of Poor Code Quality
CWE398_Poor_Code_Quality__empty_block_10.c,398,25,1,Indicator of Poor Code Quality
CWE398_Poor_Code_Quality__empty_block_11.c,398,25,1,Indicator of Poor Code Quality
CWE398_Poor_Code_Quality__empty_block_12.c,398,25,1,Indicator of Poor Code Quality
CWE398_Poor_Code_Quality__empty_block_13.c,398,25,1,Indicator of Poor Code Quality
CWE398_Poor_Code_Quality__empty_block_14.c,398,25,1,Indicator of Poor Code Quality
CWE398_Poor_Code_Quality__empty_case_14.c,398,29,1,Indicator of Poor Code Quality
CWE398_Poor_Code_Quality__empty_case_15.c,398,30,1,Indicator of Poor Code Quality
CWE398_Poor_Code_Quality__empty_case_16.c,398,29,1,Indicator of Poor Code Quality
CWE398_Poor_Code_Quality__empty_else_13.c,398,32,1,Indicator of Poor Code Quality
CWE398_Poor_Code_Quality__empty_else_14.c,398,32,1,Indicator of Poor Code Quality
