file_path,vul_id,line_no,severity,vul_name
CWE113_HTTP_Response_Splitting__Environment_addCookieServlet_01.java,113,33,3,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting')
CWE113_HTTP_Response_Splitting__Environment_addCookieServlet_02.java,113,49,3,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting')
CWE113_HTTP_Response_Splitting__Environment_addCookieServlet_03.java,113,34,3,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting')
CWE113_HTTP_Response_Splitting__Environment_addCookieServlet_04.java,113,41,3,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting')
CWE113_HTTP_Response_Splitting__Environment_addCookieServlet_05.java,113,41,3,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting')
CWE113_HTTP_Response_Splitting__Environment_addCookieServlet_06.java,113,39,3,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting')
CWE113_HTTP_Response_Splitting__Environment_addCookieServlet_07.java,113,39,3,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting')
CWE113_HTTP_Response_Splitting__Environment_addCookieServlet_08.java,113,62,3,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting')
CWE113_HTTP_Response_Splitting__Environment_addCookieServlet_09.java,113,34,3,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting')
CWE113_HTTP_Response_Splitting__Environment_addCookieServlet_10.java,113,49,3,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting')
CWE113_HTTP_Response_Splitting__Environment_addCookieServlet_11.java,113,49,3,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting')
CWE113_HTTP_Response_Splitting__Environment_addCookieServlet_12.java,113,34,3,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting')
CWE113_HTTP_Response_Splitting__Environment_addCookieServlet_13.java,113,49,3,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting')
CWE190_Integer_Overflow__int_URLConnection_add_53a.java,190,53,2,Integer Overflow or Wraparound
CWE190_Integer_Overflow__int_URLConnection_multiply_54a.java,190,53,2,Integer Overflow or Wraparound
CWE190_Integer_Overflow__int_URLConnection_multiply_61a.java,190,32,2,Integer Overflow or Wraparound
CWE190_Integer_Overflow__int_URLConnection_multiply_66a.java,190,53,2,Integer Overflow or Wraparound
CWE190_Integer_Overflow__int_URLConnection_multiply_67a.java,190,58,2,Integer Overflow or Wraparound
CWE190_Integer_Overflow__int_URLConnection_square_06.java,190,112,2,Integer Overflow or Wraparound
CWE190_Integer_Overflow__int_URLConnection_square_07.java,190,56,2,Integer Overflow or Wraparound
CWE190_Integer_Overflow__int_URLConnection_square_08.java,190,64,2,Integer Overflow or Wraparound
CWE190_Integer_Overflow__int_URLConnection_square_09.java,190,51,2,Integer Overflow or Wraparound
CWE190_Integer_Overflow__int_URLConnection_square_10.java,190,51,2,Integer Overflow or Wraparound
CWE190_Integer_Overflow__int_URLConnection_square_73a.java,190,54,2,Integer Overflow or Wraparound
CWE190_Integer_Overflow__int_URLConnection_square_74a.java,190,54,2,Integer Overflow or Wraparound
CWE190_Integer_Overflow__int_URLConnection_square_75a.java,190,56,2,Integer Overflow or Wraparound
CWE190_Integer_Overflow__int_URLConnection_square_81_bad.java,190,53,2,Integer Overflow or Wraparound
CWE191_Integer_Underflow__int_getQueryString_Servlet_postdec_66a.java,390,39,1,Detection of Error Condition Without Action
CWE191_Integer_Underflow__int_getQueryString_Servlet_postdec_66a.java,390,38,1,Detection of Error Condition Without Action
CWE191_Integer_Underflow__int_getQueryString_Servlet_postdec_66a.java,390,38,1,Detection of Error Condition Without Action
CWE191_Integer_Underflow__int_getQueryString_Servlet_postdec_66a.java,390,55,1,Detection of Error Condition Without Action
CWE191_Integer_Underflow__int_getQueryString_Servlet_postdec_66a.java,390,54,1,Detection of Error Condition Without Action
CWE191_Integer_Underflow__int_getQueryString_Servlet_postdec_66a.java,390,61,1,Detection of Error Condition Without Action
CWE191_Integer_Underflow__int_getQueryString_Servlet_postdec_66a.java,390,60,1,Detection of Error Condition Without Action
CWE191_Integer_Underflow__int_getQueryString_Servlet_postdec_66a.java,390,54,1,Detection of Error Condition Without Action
CWE191_Integer_Underflow__int_getQueryString_Servlet_postdec_66a.java,390,54,1,Detection of Error Condition Without Action
CWE191_Integer_Underflow__int_getQueryString_Servlet_postdec_66a.java,390,54,1,Detection of Error Condition Without Action
CWE191_Integer_Underflow__int_getQueryString_Servlet_postdec_66a.java,390,54,1,Detection of Error Condition Without Action
